type    ,id          ,properties.mag     ,properties.place                                  ,properties.time ,properties.updated ,properties.tz ,properties.url                                                ,properties.detail                                                                   ,properties.felt ,properties.cdi ,properties.mmi ,properties.alert ,properties.status ,properties.tsunami ,properties.sig ,properties.net ,properties.code ,properties.ids                           ,properties.sources ,properties.types                                                                                   ,properties.nst ,properties.dmin ,properties.rms ,properties.gap ,properties.magType ,properties.type ,properties.title                                          ,geometry.type ,generated     ,url                                                                                                     ,title            ,status ,api    ,count ,geometry.coordinates.longitude ,geometry.coordinates.latitude ,geometry.coordinates.depth ,properties.time.datetime ,properties.updated.datetime ,metadata.generated.datetime
Feature ,ci40153991  ,1.18               ,"17km NNE of Borrego Springs, CA"                 ,  1672960475850 ,     1672960698599 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153991  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153991&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            21 ,ci             ,40153991        ,",ci40153991,"                           ,",ci,"             ,",nearby-cities,origin,phase-data,scitech-link,"                                                   ,          30.0 ,  0.04815       ,  0.22         ,         99.0  ,ml                 ,earthquake      ,"M 1.2 - 17km NNE of Borrego Springs, CA"                 ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-116.3346667                   ,33.4058333                    ,9.12                       ,2023-01-05 23:14:35.850  ,2023-01-05 23:18:18.599     ,2023-01-07 15:00:34
Feature ,nc73829066  ,1.07               ,"5km NW of The Geysers, CA"                       ,  1672960265190 ,     1672960359911 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/nc73829066  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73829066&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            18 ,nc             ,73829066        ,",nc73829066,"                           ,",nc,"             ,",nearby-cities,origin,phase-data,"                                                                ,          15.0 ,  0.00571       ,  0.01         ,         77.0  ,md                 ,earthquake      ,"M 1.1 - 5km NW of The Geysers, CA"                       ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-122.7978363                   ,38.8133316                    ,2.17                       ,2023-01-05 23:11:05.190  ,2023-01-05 23:12:39.911     ,2023-01-07 15:00:34
Feature ,nc73829061  ,1.48               ,"10km E of Cloverdale, CA"                        ,  1672960161350 ,     1672967173071 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/nc73829061  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73829061&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            34 ,nc             ,73829061        ,",nc73829061,"                           ,",nc,"             ,",nearby-cities,origin,phase-data,scitech-link,"                                                   ,          21.0 ,  0.01442       ,  0.04         ,        122.0  ,md                 ,earthquake      ,"M 1.5 - 10km E of Cloverdale, CA"                        ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-122.9024963                   ,38.8019981                    ,5.15                       ,2023-01-05 23:09:21.350  ,2023-01-06 01:06:13.071     ,2023-01-07 15:00:34
Feature ,hv73297152  ,1.88               ,"11 km ESE of P?hala, Hawaii"                     ,  1672959339400 ,     1672959525320 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/hv73297152  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73297152&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            54 ,hv             ,73297152        ,",hv73297152,"                           ,",hv,"             ,",origin,phase-data,"                                                                              ,          37.0 ,                ,  0.109999999  ,        193.0  ,md                 ,earthquake      ,"M 1.9 - 11 km ESE of P?hala, Hawaii"                     ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-155.36799621582               ,19.1774997711182              ,31.1700000762939           ,2023-01-05 22:55:39.400  ,2023-01-05 22:58:45.320     ,2023-01-07 15:00:34
Feature ,uu60529242  ,1.41               ,"29 km SSE of Saint George, Utah"                 ,  1672959098790 ,     1672962826890 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/uu60529242  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60529242&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,            31 ,uu             ,60529242        ,",uu60529242,"                           ,",uu,"             ,",origin,phase-data,"                                                                              ,           7.0 ,  0.2554        ,  0.2          ,        239.0  ,md                 ,earthquake      ,"M 1.4 - 29 km SSE of Saint George, Utah"                 ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-113.4866667                   ,36.846                        ,18.01                      ,2023-01-05 22:51:38.790  ,2023-01-05 23:53:46.890     ,2023-01-07 15:00:34
Feature ,pr71391168  ,1.86               ,"8 km SSE of Maria Antonia, Puerto Rico"          ,  1672958994410 ,     1672959734940 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/pr71391168  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71391168&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,            53 ,pr             ,71391168        ,",pr71391168,"                           ,",pr,"             ,",origin,phase-data,"                                                                              ,           7.0 ,  0.06884       ,  0.14         ,        231.0  ,md                 ,earthquake      ,"M 1.9 - 8 km SSE of Maria Antonia, Puerto Rico"          ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-66.8531666666667              ,17.9105                       ,16.73                      ,2023-01-05 22:49:54.410  ,2023-01-05 23:02:14.940     ,2023-01-07 15:00:34
Feature ,nc73829051  ,1.16               ,"10km E of Cloverdale, CA"                        ,  1672958860240 ,     1672962972661 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/nc73829051  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73829051&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            21 ,nc             ,73829051        ,",nc73829051,"                           ,",nc,"             ,",nearby-cities,origin,phase-data,scitech-link,"                                                   ,           9.0 ,  0.02942       ,  0.02         ,        176.0  ,md                 ,earthquake      ,"M 1.2 - 10km E of Cloverdale, CA"                        ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-122.8966675                   ,38.8101654                    ,5.4                        ,2023-01-05 22:47:40.240  ,2023-01-05 23:56:12.661     ,2023-01-07 15:00:34
Feature ,us7000j2f5  ,4.2                ,"Hindu Kush region, Afghanistan"                  ,  1672958721207 ,     1672961047040 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j2f5  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j2f5&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,           271 ,us             ,7000j2f5        ,",us7000j2f5,"                           ,",us,"             ,",origin,phase-data,"                                                                              ,          32.0 ,  1.925         ,  0.91         ,        109.0  ,mb                 ,earthquake      ,"M 4.2 - Hindu Kush region, Afghanistan"                  ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,68.7554                        ,36.4559                       ,10.0                       ,2023-01-05 22:45:21.207  ,2023-01-05 23:24:07.040     ,2023-01-07 15:00:34
Feature ,uu60529237  ,1.05               ,"58 km N of Kelly, Wyoming"                       ,  1672958634470 ,     1672962332170 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/uu60529237  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60529237&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,            17 ,uu             ,60529237        ,",uu60529237,"                           ,",uu,"             ,",origin,phase-data,"                                                                              ,           8.0 ,  0.1223        ,  0.19         ,        181.0  ,md                 ,earthquake      ,"M 1.1 - 58 km N of Kelly, Wyoming"                       ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-110.5076667                   ,44.1425                       ,9.02                       ,2023-01-05 22:43:54.470  ,2023-01-05 23:45:32.170     ,2023-01-07 15:00:34
Feature ,ak0238n1d10 ,1.1                ,"17 km W of Four Mile Road, Alaska"               ,  1672958561160 ,     1672958719502 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ak0238n1d10 ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0238n1d10&format=geojson ,                ,               ,               ,                 ,automatic         ,                 0 ,            19 ,ak             ,0238n1d10       ,",ak0238n1d10,"                          ,",ak,"             ,",origin,phase-data,"                                                                              ,               ,                ,  0.32         ,               ,ml                 ,earthquake      ,"M 1.1 - 17 km W of Four Mile Road, Alaska"               ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-149.4817                      ,64.5882                       ,23.0                       ,2023-01-05 22:42:41.160  ,2023-01-05 22:45:19.502     ,2023-01-07 15:00:34
